,id,comments_id,comments_created_time,comments_message,Clustering
55,365304090334712_688367786665557,688367786665557_991368968815767,2023-09-07T06:50:43+0000,بكام,3
56,365304090334712_688367786665557,688367786665557_1106488846985193,2023-09-06T13:19:53+0000,سعرها كام,0
57,365304090334712_688367786665557,688367786665557_234089389586228,2023-09-06T07:24:03+0000,سعرها كام,0
58,365304090334712_688367786665557,688367786665557_1438008790389567,2023-08-16T06:17:25+0000,ممكن اللوكيشن فرع مدينة نصر من فضلكم,4
59,365304090334712_688367786665557,688367786665557_121869177664223,2023-08-14T13:55:18+0000,بكام,3
60,365304090334712_688367786665557,688367786665557_588406716597003,2023-08-19T06:30:16+0000,سعرها كام,0
61,365304090334712_688367786665557,688367786665557_1257693588271410,2023-09-01T19:00:26+0000,بكام,3
62,365304090334712_688367786665557,688367786665557_209503595139004,2023-08-20T12:56:04+0000,مواعيد العمل ايه من فضلك,4
63,365304090334712_688367786665557,688367786665557_3783101008643201,2023-08-19T18:53:56+0000,بكام,3
64,365304090334712_688367786665557,688367786665557_155237267606515,2023-08-16T18:10:17+0000,بكام,3
65,365304090334712_688367786665557,688367786665557_835162607808452,2023-08-16T00:16:22+0000,السعر,2
66,365304090334712_688367786665557,688367786665557_1096849431286955,2023-08-18T08:49:51+0000,بكام,3
67,365304090334712_688367786665557,688367786665557_3495095317474917,2023-08-17T17:59:51+0000,هل متوفر كنبه سرير ارابيسك؟ وكم سعرها؟,4
68,365304090334712_688367786665557,688367786665557_1728764544216846,2023-08-15T12:43:31+0000,ممكن سعرها,0
69,365304090334712_688367786665557,688367786665557_1367244120887896,2023-08-19T01:55:20+0000,بكام السعر,2
70,365304090334712_688367786665557,688367786665557_3201819043448503,2023-08-18T15:41:16+0000,"لو سمحت هل متاح تجديد قماش انتريه دونا من ٢٠١٨
وبكام؟",1
71,365304090334712_688367786665557,688367786665557_836754317649309,2023-08-15T03:31:22+0000,بكام ؟,3
72,365304090334712_688367786665557,688367786665557_1047398183098723,2023-08-25T21:52:15+0000,ممكن سعرها,0
73,365304090334712_688367786665557,688367786665557_622584333352517,2023-08-23T19:14:41+0000,كام السعر,2
74,365304090334712_688367786665557,688367786665557_316192637467957,2023-08-17T15:55:07+0000,ممكن عنوان المهندسين,4
75,365304090334712_688367786665557,688367786665557_599792639029577,2023-08-15T17:22:05+0000,السعر لو سمحت,2
76,365304090334712_688367786665557,688367786665557_677913884201900,2023-08-16T22:20:23+0000,بكام,3
77,365304090334712_688367786665557,688367786665557_309046971661528,2023-08-21T13:03:39+0000,سعرها كام,0
78,365304090334712_688367786665557,688367786665557_333336169049284,2023-08-19T21:55:13+0000,سعرها كام,0
79,365304090334712_688367786665557,688367786665557_145988788546116,2023-08-14T05:27:44+0000,بكام,3
80,365304090334712_688361939999475,688361939999475_274155298750920,2023-09-06T19:46:59+0000,بكام,3
81,365304090334712_688361939999475,688361939999475_3668978659991728,2023-09-06T17:13:01+0000,بكام,3
82,365304090334712_688361939999475,688361939999475_587595306917747,2023-09-06T11:44:16+0000,السعر كام لو سمحت,2
83,365304090334712_688361939999475,688361939999475_265223966445483,2023-08-28T10:00:13+0000,بكام لو سمحت,1
84,365304090334712_688361939999475,688361939999475_309183161600177,2023-08-24T13:08:32+0000,بكام من فضلك,3
85,365304090334712_688361939999475,688361939999475_6767746409985299,2023-09-04T23:08:56+0000,السعر كام لوسمحت,2
86,365304090334712_688361939999475,688361939999475_262488863347377,2023-09-06T20:10:01+0000,هل متاح السفرة بالكراسي فقط,4
87,365304090334712_688361939999475,688361939999475_1475513093201435,2023-08-17T00:25:18+0000,بكام,3
88,365304090334712_688361939999475,688361939999475_3148191708821520,2023-08-18T19:34:42+0000,بكام,3
89,365304090334712_688361939999475,688361939999475_846739306786160,2023-08-15T07:42:49+0000,السعر كام لو سمحت,2
90,365304090334712_688361939999475,688361939999475_1132833538100349,2023-08-14T20:26:33+0000,كم السعر,2
91,365304090334712_688361939999475,688361939999475_1679005339246826,2023-08-19T13:30:47+0000,ممكن السعر ونوع الخشب,2
92,365304090334712_688361939999475,688361939999475_1266053180740682,2023-08-13T19:25:26+0000,ماشاء الله,4
93,365304090334712_688361939999475,688361939999475_826405065478791,2023-08-14T17:54:57+0000,بكم من فضلك,4
94,365304090334712_688361939999475,688361939999475_682954187210430,2023-08-15T19:13:28+0000,سعرها كام,0
95,365304090334712_688361939999475,688361939999475_671917421162095,2023-08-14T09:41:23+0000,"السعر كام لو سمحت 
الالوان",1
96,365304090334712_688361939999475,688361939999475_612997334323912,2023-08-16T13:46:10+0000,السعر,2
97,365304090334712_688361939999475,688361939999475_643463784422258,2023-08-16T11:40:32+0000,بكام لو سمحت ونوع الخشب اية,1
98,365304090334712_688361939999475,688361939999475_594347056219160,2023-08-15T03:03:31+0000,السعر,2
99,365304090334712_688361939999475,688361939999475_1700783483680480,2023-08-15T12:20:26+0000,بكام,3
100,365304090334712_688361939999475,688361939999475_24134458759474836,2023-08-16T04:36:33+0000,تحفه ماشاء الله وكل منتجاتك جميله ربنا يوفقكم دائما 🌹🌹,4
101,365304090334712_688361939999475,688361939999475_1019500235735499,2023-08-15T15:55:46+0000,بكام السعر,2
102,365304090334712_688361939999475,688361939999475_1292380598150246,2023-08-15T01:07:53+0000,السعر,2
103,365304090334712_688361939999475,688361939999475_1219630002066108,2023-08-18T05:32:45+0000,ممكن التربيزه والكراسي  فقط ولو ممكن بكام,4
104,365304090334712_688361939999475,688361939999475_1791610187924781,2023-08-18T11:48:02+0000,السعر كام ؟,2
105,365304090334712_685183350317334,685183350317334_1344840273078082,2023-08-09T10:44:58+0000,ممكن كتالوج لصور ركنة,4
106,365304090334712_685183350317334,685183350317334_111432088720507,2023-08-19T12:25:52+0000,في صيانة لو سمحت ؟,1
107,365304090334712_685183350317334,685183350317334_3458939321038933,2023-08-23T05:46:14+0000,ممكن صور للكنب,4
108,365304090334712_685183350317334,685183350317334_152459187899151,2023-08-26T12:53:10+0000,ممكن كتالوج المكاتب,4
109,365304090334712_685183350317334,685183350317334_997466774901043,2023-08-08T12:58:19+0000,الرجاء ارسال كتالوج لصور غرف النوم,4
110,365304090334712_685183350317334,685183350317334_280711664599134,2023-08-15T05:45:23+0000,هو ممكن اطلب أوردر مخصوص؟؟,4
111,365304090334712_685183350317334,685183350317334_2193250434213780,2023-08-20T22:31:08+0000,ممكن الكتالوج بالاسعار لو سمحتم,1
112,365304090334712_685183350317334,685183350317334_6336390099742620,2023-08-10T06:40:25+0000,مصطفى حامد,4
113,365304090334712_685183350317334,685183350317334_1242169629824863,2023-08-16T09:14:56+0000,Bishoy Youssef,4
114,365304090334712_685183350317334,685183350317334_834767258185724,2023-08-19T22:48:32+0000,ممكن كتالوج صور الانترات والركن,4
115,365304090334712_685183350317334,685183350317334_1347383156173941,2023-08-16T13:27:25+0000,Noha Nada,4
116,365304090334712_685183350317334,685183350317334_670479347996348,2023-08-13T05:18:53+0000,الارسال فورا ولا بياخد وقت؟,4
117,365304090334712_685183350317334,685183350317334_315363480947323,2023-08-23T13:20:44+0000,ممكن صور دولار غرفه نوم واحده,4
118,365304090334712_685183350317334,685183350317334_1291103484932568,2023-08-15T10:22:11+0000,"عايزه اتعرف على عروض الأنتريهات 
وهل الخصم يسرى على التقسيط ؟",4
119,365304090334712_685183350317334,685183350317334_298359949406488,2023-08-08T14:34:01+0000,رجاء إرسال كتالوج لصور غرف النوم ..لو فيه تقسيط هل هيكون فيه خصم,4
120,365304090334712_685183350317334,685183350317334_1088106252161488,2023-09-02T19:39:28+0000,ازاى ... ممكن تفاصيل لو سمحتم,1
121,365304090334712_685183350317334,685183350317334_316687744108989,2023-08-16T13:40:44+0000,من فضلكم إرسال كتالوج لغرف النوم مع الأسعار,4
122,365304090334712_685183350317334,685183350317334_822668426235493,2023-08-22T19:51:11+0000,في خصم على الجزامات ؟,4
123,365304090334712_685183350317334,685183350317334_941146316980803,2023-08-25T13:56:32+0000,ف دواليب فرداني,4
124,365304090334712_685183350317334,685183350317334_279280794734378,2023-08-18T10:41:28+0000,ممكن صور واسعار كنب سرير,4
125,365304090334712_685183350317334,685183350317334_6697571370358829,2023-08-23T10:48:20+0000,السلام عليكم برجاء ارسال كتالوج لصور غرف النوم الرئيسية,4
126,365304090334712_685183350317334,685183350317334_311356117970922,2023-08-17T13:57:23+0000,مافيش سراير ١٢٠ سم,4
127,365304090334712_685183350317334,685183350317334_246723531600386,2023-08-08T16:27:04+0000,تحية كبيرة لمصمم الويب سايت اللى عليها جميع المعروضات بالأسعار فى عرض سهل و جميل و مفصل  .. شكرا جزيلا,4
128,365304090334712_685183350317334,685183350317334_1320882165177352,2023-08-25T10:03:49+0000,الرجاء ارسال كتالوج لصور غرف النوم,4
129,365304090334712_685183350317334,685183350317334_215108964552948,2023-08-22T06:24:01+0000,رجاء إرسال كتالوج لصور غرف النوم ..لو فيه تقسيط هل هيكون فيه خصم وطريقه التقسيط والكتالوج,4
130,365304090334712_683537550481914,683537550481914_615386177131068,2023-08-08T00:34:20+0000,بكام,3
131,365304090334712_683537550481914,683537550481914_768643475040338,2023-08-05T16:35:19+0000,ممكن سعر ال 160,0
132,365304090334712_683537550481914,683537550481914_1550981732099574,2023-08-06T20:13:48+0000,بكام مرتبه 120,4
133,365304090334712_683537550481914,683537550481914_232547729755134,2023-08-05T18:09:00+0000,الاسعار,4
134,365304090334712_683537550481914,683537550481914_192968523776963,2023-08-05T15:55:41+0000,بكام السعر,2
135,365304090334712_683537550481914,683537550481914_1708210319649407,2023-08-05T10:47:44+0000,بكام,3
136,365304090334712_683537550481914,683537550481914_823653289270238,2023-08-05T12:55:26+0000,كام سعر المرتبه مقاس 160,0
137,365304090334712_683537550481914,683537550481914_1669984473479717,2023-08-18T14:44:20+0000,ممكن سعر المرتبة المتر؟,0
138,365304090334712_683537550481914,683537550481914_686864156596634,2023-08-17T12:59:22+0000,سعر متر في مترين,0
139,365304090334712_683537550481914,683537550481914_2037548059940166,2023-08-21T18:16:51+0000,اسعار المراتب,4
140,365304090334712_683537550481914,683537550481914_976551716911908,2023-08-19T18:36:58+0000,المرتبة ١٢٠ بكام,4
141,365304090334712_683537550481914,683537550481914_1218951095439612,2023-08-19T07:02:24+0000,"عايز سرير 120 ودولاب ومرتبة
بكام
ممكن عنوان فرع حلوان",4
142,365304090334712_683537550481914,683537550481914_281666397825554,2023-08-20T06:46:15+0000,سعر ٢×١٢٠ كام,0
143,365304090334712_683537550481914,683537550481914_970140264277173,2023-08-16T13:28:26+0000,Noha Nada,4
144,365304090334712_683537550481914,683537550481914_833614204667425,2023-08-15T09:02:52+0000,سعر ١٢٠،  ١٨٠ كام من فضلك,0
145,365304090334712_683537550481914,683537550481914_134096976411128,2023-08-07T11:52:57+0000,بكام المرتبه,4
146,365304090334712_683537550481914,683537550481914_682450340050348,2023-08-25T07:57:36+0000,مواعيد العمل الجمعه,4
147,365304090334712_683537550481914,683537550481914_809449400670272,2023-08-17T02:58:00+0000,سعر ١٦٠ كام,0
148,365304090334712_683537550481914,683537550481914_992549708865851,2023-08-05T12:49:04+0000,سعر المرتبة ١٦٠,0
149,365304090334712_683537550481914,683537550481914_243007285371121,2023-08-19T00:21:21+0000,بكام ال ١٦٠,4
150,365304090334712_683537550481914,683537550481914_273621595306037,2023-08-06T09:29:05+0000,سعر مرتبه 160×195,0
151,365304090334712_683537550481914,683537550481914_2926711410796815,2023-08-05T11:40:24+0000,"الاسعار
2x160",4
152,365304090334712_683537550481914,683537550481914_251624097808092,2023-08-09T01:36:39+0000,120*195سعرها كام لو سمحت,1
153,365304090334712_683537550481914,683537550481914_965840734702388,2023-08-17T09:35:12+0000,سعر المرتبه 1 متر كام,0
154,365304090334712_683537550481914,683537550481914_1340392020240580,2023-08-05T10:13:09+0000,الاسعار,4
155,365304090334712_674175644751438,674175644751438_294233706428646,2023-07-21T09:38:00+0000,هو حضراتكم شغالين اليوم ؟؟ او بكرة ؟,4
156,365304090334712_674175644751438,674175644751438_670067031222941,2023-07-21T04:59:23+0000,السلام عليكم ممكن صور وتفاصيل لغرفة  سرير بدورين,4
157,365304090334712_674175644751438,674175644751438_251240794368083,2023-07-26T19:21:54+0000,بكام سفرة كوين,4
158,365304090334712_674175644751438,674175644751438_1080774469557148,2023-07-27T18:51:38+0000,وياريت لو في رقم ساخن,4
159,365304090334712_674175644751438,674175644751438_295706416310184,2023-07-27T18:51:23+0000,ممكن صور للركنات واسعارها,4
160,365304090334712_673847184784284,673847184784284_1457402265045678,2023-08-13T08:55:27+0000,هل ف جزامه و الاسعار ايه,4
161,365304090334712_673847184784284,673847184784284_798322685122730,2023-07-19T05:16:25+0000,"لو سمحت الأسعار 
ولوممكن كتالوج الصور للغرفة النوم",1
162,365304090334712_673847184784284,673847184784284_750633297068297,2023-07-19T15:17:48+0000,مفيش حجرة نوم وسفرة وانتريه,4
163,365304090334712_673847184784284,673847184784284_272151362090903,2023-07-23T05:03:53+0000,ممكن غرفة أطفال سريرين,4
164,365304090334712_673847184784284,673847184784284_214752421197757,2023-08-02T22:18:00+0000,Mai Farid,4
165,365304090334712_673847184784284,673847184784284_1297685380878290,2023-07-20T19:54:47+0000,مواعيد الشغل ايه,4
166,365304090334712_673847184784284,673847184784284_162357146870505,2023-07-25T12:26:49+0000,Hisham Bahnasy,4
167,365304090334712_673847184784284,673847184784284_3552899564947536,2023-07-20T00:36:06+0000,ممكن غرفة أطفال سريرين,4
168,365304090334712_673847184784284,673847184784284_965969177963928,2023-08-05T21:54:45+0000,"السلام عليكم ورحمة الله وبركاته
حجرة نوم بنات الفراشه بكام لو سمحت",1
169,365304090334712_673847184784284,673847184784284_987099712437730,2023-07-20T16:54:23+0000,ممكن غرف اطفال سريرين ؟,4
170,365304090334712_673847184784284,673847184784284_266030702794483,2023-07-22T09:12:38+0000,اسعار غرف النوم,4
171,365304090334712_673847184784284,673847184784284_958868902036516,2023-07-28T07:24:56+0000,سعر دولاب 2م,0
172,365304090334712_673847184784284,673847184784284_325376283157410,2023-08-04T01:06:54+0000,May Ghaly,4
173,365304090334712_673847184784284,673847184784284_160604560371514,2023-07-20T06:39:53+0000,الاستلام خلال قد ايه,4
174,365304090334712_673847184784284,673847184784284_102131786294623,2023-07-19T05:04:57+0000,عاوز كتالوج الاوض والاسعار,4
175,365304090334712_673847184784284,673847184784284_813750823577606,2023-07-27T04:46:14+0000,التقسيط كم خلال ايه,4
176,365304090334712_673847184784284,673847184784284_815135376670153,2023-07-19T09:43:07+0000,هل متاح التعامل بفاليو,4
177,365304090334712_673847184784284,673847184784284_3119665518338200,2023-07-24T12:56:47+0000,بكام سرير زان عرض 160شكرا,4
178,365304090334712_673847184784284,673847184784284_665241945059494,2023-07-19T07:34:40+0000,ممكن كتالوج والأسعار,4
179,365304090334712_673847184784284,673847184784284_3613996748833318,2023-07-24T09:18:13+0000,موجود جزامه,4
180,365304090334712_673847184784284,673847184784284_271259782203223,2023-07-27T07:34:55+0000,في تقسيط فيزا البنك الاهلي,4
181,365304090334712_673847184784284,673847184784284_1329710744639368,2023-07-24T10:14:35+0000,هل متوفر مكاتب اطفال و دولاب فرداني,4
182,365304090334712_673847184784284,673847184784284_1340896596501899,2023-07-31T00:22:32+0000,ممكن كتالوج و الاسعار,4
183,365304090334712_673847184784284,673847184784284_312695021175081,2023-08-01T21:59:27+0000,أسعار غرف النوم,4
184,365304090334712_673847184784284,673847184784284_1234476100602946,2023-07-24T22:35:36+0000,ممكن كاتلوج بأسعار,4
185,365304090334712_672409858261350,672409858261350_1312221479376764,2023-07-29T13:25:49+0000,ممكن اعرف نهاية  فترة العرض,4
186,365304090334712_672409858261350,672409858261350_619621970259362,2023-07-17T11:36:30+0000,ممكن سعر غرفه النوم,0
187,365304090334712_672409858261350,672409858261350_2381155898729213,2023-07-26T16:46:04+0000,بكام السرير في اول صوره ومقاس,4
188,365304090334712_672409858261350,672409858261350_1327698951176487,2023-08-04T19:54:50+0000,تفاصيل القسط لو سمحتم,1
189,365304090334712_672409858261350,672409858261350_6342849849141635,2023-07-16T23:04:11+0000,العرض لامتى لو سمحت وهل متاح على السراير,1
190,365304090334712_672409858261350,672409858261350_1313575109588163,2023-07-20T16:00:55+0000,التفاصيل,4
191,365304090334712_672409858261350,672409858261350_1076987466611591,2023-07-28T14:24:31+0000,ممكن الاسعار,4
192,365304090334712_672409858261350,672409858261350_263079023020698,2023-07-18T09:55:24+0000,ممكن التفاصيل,4
193,365304090334712_672409858261350,672409858261350_1007152277084149,2023-07-16T16:29:03+0000,ممكن تفاصيل,4
194,365304090334712_672409858261350,672409858261350_796771839115847,2023-07-18T18:15:57+0000,ممكن اسعار,4
195,365304090334712_672409858261350,672409858261350_327090293088638,2023-07-31T18:54:43+0000,ممكن اسعار غرف الاطفال,4
196,365304090334712_672409858261350,672409858261350_938964747172101,2023-08-01T10:56:13+0000,ممكن تفاصيل عن غرف السفرة,4
197,365304090334712_672409858261350,672409858261350_181557391417276,2023-07-17T10:05:46+0000,فيه كنبة سرير و بكام,4
198,365304090334712_672409858261350,672409858261350_1736986803388078,2023-07-16T16:16:37+0000,السرير المتقفل بعد الخصم كام,0
199,365304090334712_672409858261350,672409858261350_609756420995143,2023-07-21T19:14:46+0000,بكام,3
200,365304090334712_672409858261350,672409858261350_1408147029744668,2023-07-28T17:05:58+0000,ممكن اعرف غرف اطفال سرير دورين,4
201,365304090334712_672409858261350,672409858261350_1547350606093899,2023-07-18T10:49:56+0000,ممكن اسعار غرف الاطفال,4
202,365304090334712_672409858261350,672409858261350_858534352307011,2023-07-18T11:58:22+0000,ممكن اسعار غرف النوم,4
203,365304090334712_672409858261350,672409858261350_2620324774791611,2023-07-20T19:55:00+0000,عايزة اسعار  لوسمحت,4
204,365304090334712_672409858261350,672409858261350_245175021712309,2023-07-17T07:08:42+0000,تفاصيل الانتريهات والتقسيط,4
205,365304090334712_672409858261350,672409858261350_3439384116327556,2023-07-16T09:23:07+0000,مقاس الجزامه,4
206,365304090334712_672409858261350,672409858261350_194823406689863,2023-08-02T06:18:35+0000,ممكن شكل وسعر مكاتب اطفال,4
207,365304090334712_672409858261350,672409858261350_1241324996570408,2023-07-17T17:04:37+0000,هل يوجد سرير دورين ١٢٠ وسعرة كام,4
208,365304090334712_672409858261350,672409858261350_117590294738649,2023-07-25T12:17:43+0000,عايز اعرف الاسعار لو سمحت,1
209,365304090334712_672409858261350,672409858261350_202771436073703,2023-07-17T10:44:06+0000,تفاصيل,4
210,365304090334712_671395088362827,671395088362827_1126418248761851,2023-07-28T22:51:48+0000,فعلا شركة محترمة جدا وده رايي عن تجربة,4
211,365304090334712_671395088362827,671395088362827_671994228131238,2023-08-01T12:38:08+0000,حقيقى جميل حاجه تعيش,4
212,365304090334712_671395088362827,671395088362827_801751831737705,2023-07-28T23:28:01+0000,السفره بكام Perry Moneam,4
213,365304090334712_671395088362827,671395088362827_1325105648092485,2023-07-27T13:08:22+0000,ممكن اعرف سعر,0
214,365304090334712_671395088362827,671395088362827_1334117680518739,2023-08-02T08:10:31+0000,ممكن سعر السفره,0
215,365304090334712_671395088362827,671395088362827_1463249777824054,2023-07-29T17:37:05+0000,عاوزة لو سمحت أشكال دواليب واسعارها,1
216,365304090334712_671395088362827,671395088362827_288361493793665,2023-08-20T13:36:36+0000,كام غرفة النوم,0
217,365304090334712_671395088362827,671395088362827_1951908095193644,2023-08-07T08:29:41+0000,ممكن سعر حجرة النوم دى كام,0
218,365304090334712_671395088362827,671395088362827_1285325472343623,2023-07-29T18:57:31+0000,Emmy Ghonim,4
219,365304090334712_671395088362827,671395088362827_221792573723717,2023-07-31T18:48:03+0000,Mostafa Ashour Raghd Ashour,4
220,365304090334712_671395088362827,671395088362827_827788738797075,2023-08-03T04:12:00+0000,عايزة أعمل الدريسينج روم بكام سعر المتر عندكم,4
221,365304090334712_671395088362827,671395088362827_961093305165492,2023-07-22T17:25:23+0000,ممكن الاسعار,4
222,365304090334712_671395088362827,671395088362827_1360822651164672,2023-07-29T15:01:15+0000,سعر السفرة بتبدا من كام و كاتلوجات,0
223,365304090334712_671395088362827,671395088362827_797043385493876,2023-07-30T10:07:14+0000,عنوان فرعكم فين فى المهندسين والمعادى؟,4
224,365304090334712_671395088362827,671395088362827_278104054815434,2023-07-27T16:32:25+0000,ممكن سعر السفره,0
225,365304090334712_671395088362827,671395088362827_1502709290470018,2023-07-30T05:12:38+0000,ممكن الاسعار وموديلات تانيه,4
226,365304090334712_671395088362827,671395088362827_301499818994838,2023-07-15T22:46:08+0000,عايزة اعرف عناوين الفروع,4
227,365304090334712_671395088362827,671395088362827_1239821906588092,2023-07-25T12:00:55+0000,ممكن سعر حجرة النوم  الرئيسية  وعرض السرير,0
228,365304090334712_671395088362827,671395088362827_946522953118196,2023-07-30T04:18:21+0000,سعر غرف الاطفال,0
229,365304090334712_671395088362827,671395088362827_1474353193326300,2023-07-29T19:14:35+0000,ممكن عنوان فرع الهرم,4
230,365304090334712_671395088362827,671395088362827_998570821321622,2023-08-01T01:50:49+0000,ممكن اعرف اسعار غرف اطفال مودرن بكام,4
231,365304090334712_671395088362827,671395088362827_285579047387153,2023-07-24T14:56:39+0000,ممكن اعرف سعر غرفه النوم بكام,0
